sample_id,record_number,source_record,genotype,treatment,learning,BDNF,pCREB
320,9,320_9,Control,Memantine,C/S,0.39158777,0.195405867
320,10,320_10,Control,Memantine,C/S,0.370568052,0.208921083
320,11,320_11,Control,Memantine,C/S,0.38436851,0.20841986
320,12,320_12,Control,Memantine,C/S,0.383670384,0.208278208
320,13,320_13,Control,Memantine,C/S,0.36030082,0.220601641
320,14,320_14,Control,Memantine,C/S,0.371539693,0.244566461
320,15,320_15,Control,Memantine,C/S,0.360785199,0.199232852
321,1,321_1,Control,Memantine,C/S,0.40296215,0.198354361
321,2,321_2,Control,Memantine,C/S,0.401297297,0.205081081
321,3,321_3,Control,Memantine,C/S,0.417958656,0.210594315
321,4,321_4,Control,Memantine,C/S,0.376029022,0.190037673
321,5,321_5,Control,Memantine,C/S,0.381124722,0.198496659
321,6,321_6,Control,Memantine,C/S,0.385842881,0.197081288
321,7,321_7,Control,Memantine,C/S,0.342756775,0.183506189
321,8,321_8,Control,Memantine,C/S,0.357512061,0.19314266
321,9,321_9,Control,Memantine,C/S,0.361935266,0.1908294
321,10,321_10,Control,Memantine,C/S,0.324573226,0.206199461
321,11,321_11,Control,Memantine,C/S,0.338937458,0.204662632
321,12,321_12,Control,Memantine,C/S,0.334286343,0.196613152
321,13,321_13,Control,Memantine,C/S,0.308093995,0.204960836
321,14,321_14,Control,Memantine,C/S,0.326368686,0.206559111
321,15,321_15,Control,Memantine,C/S,0.331942634,0.200521512
322,1,322_1,Control,Memantine,C/S,0.315109108,0.17955408
322,2,322_2,Control,Memantine,C/S,0.333042067,0.189239795
322,3,322_3,Control,Memantine,C/S,0.342568326,0.181579933
322,4,322_4,Control,Memantine,C/S,0.322269638,0.183657342
322,5,322_5,Control,Memantine,C/S,0.316708622,0.175739459
322,6,322_6,Control,Memantine,C/S,0.32354342,0.180346087
322,7,322_7,Control,Memantine,C/S,0.303490436,0.18339578
322,8,322_8,Control,Memantine,C/S,0.30297689,0.180963572
322,9,322_9,Control,Memantine,C/S,0.295910494,0.175154321
322,10,322_10,Control,Memantine,C/S,0.296166433,0.184431978
322,11,322_11,Control,Memantine,C/S,0.301080211,0.176281315
322,12,322_12,Control,Memantine,C/S,0.310731821,0.17512275
322,13,322_13,Control,Memantine,C/S,0.322732301,0.192477876
322,14,322_14,Control,Memantine,C/S,0.318987342,0.192123769
322,15,322_15,Control,Memantine,C/S,0.321250692,0.184560044
3415,1,3415_1,Control,Memantine,C/S,0.405861767,0.23928259
3415,2,3415_2,Control,Memantine,C/S,0.388583691,0.221030043
3415,3,3415_3,Control,Memantine,C/S,0.400561453,0.222300202
3415,4,3415_4,Control,Memantine,C/S,0.348346314,0.194152839
3415,5,3415_5,Control,Memantine,C/S,0.350050716,0.194297306
3415,6,3415_6,Control,Memantine,C/S,0.343910042,0.193052772
3415,7,3415_7,Control,Memantine,C/S,0.311961722,0.190020506
3415,8,3415_8,Control,Memantine,C/S,0.299947971,0.163891779
3415,9,3415_9,Control,Memantine,C/S,0.30590604,0.173959732
3415,10,3415_10,Control,Memantine,C/S,0.266223232,0.147955873
3415,11,3415_11,Control,Memantine,C/S,0.262430939,0.165420864
3415,12,3415_12,Control,Memantine,C/S,0.258428805,0.167430442
3415,13,3415_13,Control,Memantine,C/S,0.261285075,0.135217568
3415,14,3415_14,Control,Memantine,C/S,0.261164274,0.137958533
3415,15,3415_15,Control,Memantine,C/S,0.257909491,0.142571085
3499,1,3499_1,Control,Memantine,C/S,0.349929128,0.233965273
3499,2,3499_2,Control,Memantine,C/S,0.355206074,0.237075199
3499,3,3499_3,Control,Memantine,C/S,0.362377484,0.236309684
3499,4,3499_4,Control,Memantine,C/S,0.302132435,0.201795735
3499,5,3499_5,Control,Memantine,C/S,0.308327676,0.197103417
3499,6,3499_6,Control,Memantine,C/S,0.306515581,0.194107649
3499,7,3499_7,Control,Memantine,C/S,0.266096866,0.164957265
3499,8,3499_8,Control,Memantine,C/S,0.264008005,0.159090909
3499,9,3499_9,Control,Memantine,C/S,0.268153915,0.167689774
3499,10,3499_10,Control,Memantine,C/S,0.255778894,0.155108878
3499,11,3499_11,Control,Memantine,C/S,0.251350439,0.150236327
3499,12,3499_12,Control,Memantine,C/S,0.296085532,0.151577858
3499,13,3499_13,Control,Memantine,C/S,0.284346847,0.138513514
3499,14,3499_14,Control,Memantine,C/S,0.236207219,0.140826632
3499,15,3499_15,Control,Memantine,C/S,0.21584343,0.135135135
3507,1,3507_1,Control,Memantine,C/S,0.337220879,0.227705874
3507,2,3507_2,Control,Memantine,C/S,0.332252608,0.22511982
3507,3,3507_3,Control,Memantine,C/S,0.341173096,0.222572781
3507,4,3507_4,Control,Memantine,C/S,0.307379714,0.2039987
3507,5,3507_5,Control,Memantine,C/S,0.323729094,0.203179334
3507,6,3507_6,Control,Memantine,C/S,0.326544467,0.211133741
3507,7,3507_7,Control,Memantine,C/S,0.304048742,0.210888365
3507,8,3507_8,Control,Memantine,C/S,0.313173157,0.202361226
3507,9,3507_9,Control,Memantine,C/S,0.305140962,0.213723051
3507,10,3507_10,Control,Memantine,C/S,0.284329946,0.199480028
3507,11,3507_11,Control,Memantine,C/S,0.311242023,0.206921944
3507,12,3507_12,Control,Memantine,C/S,0.31012333,0.206577595
3507,13,3507_13,Control,Memantine,C/S,0.336109459,0.226948245
3507,14,3507_14,Control,Memantine,C/S,0.295235394,0.237663074
3507,15,3507_15,Control,Memantine,C/S,0.331598728,0.240242845
3520,1,3520_1,Control,Memantine,C/S,0.393314501,0.246986817
3520,2,3520_2,Control,Memantine,C/S,0.394525268,0.243587289
3520,3,3520_3,Control,Memantine,C/S,0.390470767,0.23443432
3520,4,3520_4,Control,Memantine,C/S,0.369172342,0.223022525
3520,5,3520_5,Control,Memantine,C/S,0.35777692,0.204940178
3520,6,3520_6,Control,Memantine,C/S,0.350833768,0.208051068
3520,7,3520_7,Control,Memantine,C/S,0.328569134,0.208286494
3520,8,3520_8,Control,Memantine,C/S,0.331195244,0.195869837
3520,9,3520_9,Control,Memantine,C/S,0.309215537,0.193602437
3520,10,3520_10,Control,Memantine,C/S,0.310204082,0.206938776
3520,11,3520_11,Control,Memantine,C/S,0.313192557,0.2226636
3520,12,3520_12,Control,Memantine,C/S,0.335357215,0.207447885
3520,13,3520_13,Control,Memantine,C/S,0.305296714,0.214320745
3520,14,3520_14,Control,Memantine,C/S,0.323751891,0.225163893
3520,15,3520_15,Control,Memantine,C/S,0.308157831,0.2050351
3521,1,3521_1,Control,Memantine,C/S,0.441881614,0.277695106
3521,2,3521_2,Control,Memantine,C/S,0.447824637,0.273795633
3521,3,3521_3,Control,Memantine,C/S,0.431228585,0.261951379
3521,4,3521_4,Control,Memantine,C/S,0.386822409,0.234633704
3521,5,3521_5,Control,Memantine,C/S,0.387912462,0.228937521
3521,6,3521_6,Control,Memantine,C/S,0.381477398,0.226681367
3521,7,3521_7,Control,Memantine,C/S,0.363164203,0.210280996
3521,8,3521_8,Control,Memantine,C/S,0.344836775,0.207728181
3521,9,3521_9,Control,Memantine,C/S,0.351973244,0.204949833
3521,10,3521_10,Control,Memantine,C/S,0.335082197,0.201818818
3521,11,3521_11,Control,Memantine,C/S,0.338439615,0.204666904
3521,12,3521_12,Control,Memantine,C/S,0.33813987,0.207281903
3521,13,3521_13,Control,Memantine,C/S,0.312938596,0.211403509
3521,14,3521_14,Control,Memantine,C/S,0.326589595,0.206758559
3521,15,3521_15,Control,Memantine,C/S,0.306182122,0.197786132
294,1,294_1,Control,Memantine,S/C,0.308490308,0.227409227
294,2,294_2,Control,Memantine,S/C,0.289043982,0.211614432
294,3,294_3,Control,Memantine,S/C,0.32184851,0.217528028
294,4,294_4,Control,Memantine,S/C,0.299533598,0.206253239
294,5,294_5,Control,Memantine,S/C,0.297411605,0.203857215
294,6,294_6,Control,Memantine,S/C,0.283040552,0.204071581
294,7,294_7,Control,Memantine,S/C,0.316701903,0.241226216
294,8,294_8,Control,Memantine,S/C,0.294576828,0.225349219
294,9,294_9,Control,Memantine,S/C,0.281316554,0.198063892
294,10,294_10,Control,Memantine,S/C,0.34338495,0.239337137
294,11,294_11,Control,Memantine,S/C,0.326210093,0.220906282
294,12,294_12,Control,Memantine,S/C,0.325207469,0.223288382
294,13,294_13,Control,Memantine,S/C,0.324550527,0.238065716
294,14,294_14,Control,Memantine,S/C,0.365986395,0.251020408
294,15,294_15,Control,Memantine,S/C,0.362389814,0.246163892
3412,1,3412_1,Control,Memantine,S/C,0.281871827,0.215589406
3412,2,3412_2,Control,Memantine,S/C,0.298375805,0.221366564
3412,3,3412_3,Control,Memantine,S/C,0.303705807,0.236546926
3412,4,3412_4,Control,Memantine,S/C,0.293353836,0.208440116
3412,5,3412_5,Control,Memantine,S/C,0.304831422,0.215849844
3412,6,3412_6,Control,Memantine,S/C,0.29828251,0.223624255
3412,7,3412_7,Control,Memantine,S/C,0.30015083,0.211592329
3412,8,3412_8,Control,Memantine,S/C,0.299458288,0.213434453
3412,9,3412_9,Control,Memantine,S/C,0.294462541,0.222149837
3412,10,3412_10,Control,Memantine,S/C,0.304347826,0.206643869
3412,11,3412_11,Control,Memantine,S/C,0.299629172,0.213844252
3412,12,3412_12,Control,Memantine,S/C,0.321589205,0.223388306
3412,13,3412_13,Control,Memantine,S/C,0.3171875,0.2259375
3412,14,3412_14,Control,Memantine,S/C,0.317687286,0.232825614
3412,15,3412_15,Control,Memantine,S/C,0.346354167,0.237630208
3413,1,3413_1,Control,Memantine,S/C,0.265467626,0.202068345
3413,2,3413_2,Control,Memantine,S/C,0.115181402,0.19232124
3413,3,3413_3,Control,Memantine,S/C,0.266897148,0.196974935
3413,4,3413_4,Control,Memantine,S/C,0.232138956,0.164955211
3413,5,3413_5,Control,Memantine,S/C,0.255172414,0.169458128
3413,6,3413_6,Control,Memantine,S/C,0.239452055,0.171726027
3413,7,3413_7,Control,Memantine,S/C,0.221028905,0.15924158
3413,8,3413_8,Control,Memantine,S/C,0.217385621,0.150980392
3413,9,3413_9,Control,Memantine,S/C,0.222236705,0.150938478
3413,10,3413_10,Control,Memantine,S/C,0.212386795,0.135261467
3413,11,3413_11,Control,Memantine,S/C,0.198158702,0.134882362
3413,12,3413_12,Control,Memantine,S/C,0.220139771,0.146601017
3413,13,3413_13,Control,Memantine,S/C,0.185979513,0.127400768
3413,14,3413_14,Control,Memantine,S/C,0.197270686,0.127483158
3413,15,3413_15,Control,Memantine,S/C,0.228643705,0.147304923
3419,1,3419_1,Control,Memantine,S/C,0.294584838,0.221083032
3419,2,3419_2,Control,Memantine,S/C,0.290589602,0.214057508
3419,3,3419_3,Control,Memantine,S/C,0.279473537,0.205404649
3419,4,3419_4,Control,Memantine,S/C,0.282661571,0.211084086
3419,5,3419_5,Control,Memantine,S/C,0.284984138,0.212019739
3419,6,3419_6,Control,Memantine,S/C,0.258191997,0.198583896
3419,7,3419_7,Control,Memantine,S/C,0.269407346,0.213480801
3419,8,3419_8,Control,Memantine,S/C,0.252742869,0.200079793
3419,9,3419_9,Control,Memantine,S/C,0.248001599,0.20303757
3419,10,3419_10,Control,Memantine,S/C,0.308648649,0.234594595
3419,11,3419_11,Control,Memantine,S/C,0.280010438,0.230167015
3419,12,3419_12,Control,Memantine,S/C,0.267983419,0.212874909
3419,13,3419_13,Control,Memantine,S/C,0.317257218,0.262795276
3419,14,3419_14,Control,Memantine,S/C,0.283713851,0.256316591
3419,15,3419_15,Control,Memantine,S/C,0.272194821,0.232737361
3420,1,3420_1,Control,Memantine,S/C,0.26672484,0.213496219
3420,2,3420_2,Control,Memantine,S/C,0.26,0.222627737
3420,3,3420_3,Control,Memantine,S/C,0.247090663,0.194046008
3420,4,3420_4,Control,Memantine,S/C,0.268394346,0.225625227
3420,5,3420_5,Control,Memantine,S/C,0.267684022,0.217055655
3420,6,3420_6,Control,Memantine,S/C,0.239206908,0.18835945
3420,7,3420_7,Control,Memantine,S/C,0.31383452,0.225088968
3420,8,3420_8,Control,Memantine,S/C,0.260969977,0.207642242
3420,9,3420_9,Control,Memantine,S/C,0.249135652,0.217408989
3420,10,3420_10,Control,Memantine,S/C,0.337398374,0.305190744
3420,11,3420_11,Control,Memantine,S/C,0.324469769,0.285533397
3420,12,3420_12,Control,Memantine,S/C,0.301639344,0.261102832
3420,13,3420_13,Control,Memantine,S/C,0.397491039,0.292473118
3420,14,3420_14,Control,Memantine,S/C,0.335948158,0.273874488
3420,15,3420_15,Control,Memantine,S/C,0.342714642,0.283576772
3500,1,3500_1,Control,Memantine,S/C,0.327984199,0.220343168
3500,2,3500_2,Control,Memantine,S/C,0.291023764,0.198445771
3500,3,3500_3,Control,Memantine,S/C,0.291796111,0.201357726
3500,4,3500_4,Control,Memantine,S/C,0.324419114,0.206780652
3500,5,3500_5,Control,Memantine,S/C,0.285832415,0.192668137
3500,6,3500_6,Control,Memantine,S/C,0.275020793,0.187551982
3500,7,3500_7,Control,Memantine,S/C,0.316703559,0.201089733
3500,8,3500_8,Control,Memantine,S/C,0.263367917,0.18499601
3500,9,3500_9,Control,Memantine,S/C,0.265627537,0.182172431
3500,10,3500_10,Control,Memantine,S/C,0.276941601,0.179811359
3500,11,3500_11,Control,Memantine,S/C,0.26371308,0.179324895
3500,12,3500_12,Control,Memantine,S/C,0.258155231,0.171353581
3500,13,3500_13,Control,Memantine,S/C,0.320754717,0.191340106
3500,14,3500_14,Control,Memantine,S/C,0.280268022,0.18461183
3500,15,3500_15,Control,Memantine,S/C,0.280898876,0.187265918
3503,1,3503_1,Control,Memantine,S/C,0.290876474,0.186058432
3503,2,3503_2,Control,Memantine,S/C,0.309183948,0.194990574
3503,3,3503_3,Control,Memantine,S/C,0.288297733,0.194469925
3503,4,3503_4,Control,Memantine,S/C,0.311251664,0.198069241
3503,5,3503_5,Control,Memantine,S/C,0.284369115,0.188794727
3503,6,3503_6,Control,Memantine,S/C,0.279554264,0.191860465
3503,7,3503_7,Control,Memantine,S/C,0.267342167,0.183943882
3503,8,3503_8,Control,Memantine,S/C,0.28141698,0.183059569
3503,9,3503_9,Control,Memantine,S/C,0.315329318,0.179327764
3503,10,3503_10,Control,Memantine,S/C,0.31290602,0.179514942
3503,11,3503_11,Control,Memantine,S/C,0.297578638,0.181941616
3503,12,3503_12,Control,Memantine,S/C,0.267662135,0.196790729
3503,13,3503_13,Control,Memantine,S/C,0.268236646,0.184951177
3503,14,3503_14,Control,Memantine,S/C,0.316858869,0.169412411
3503,15,3503_15,Control,Memantine,S/C,0.332021792,0.182506053
362,1,362_1,Control,Memantine,S/C,0.305588429,0.19947403
362,2,362_2,Control,Memantine,S/C,0.299698202,0.188557932
362,3,362_3,Control,Memantine,S/C,0.296756209,0.176507856
362,4,362_4,Control,Memantine,S/C,0.286402312,0.178840905
362,5,362_5,Control,Memantine,S/C,0.289150868,0.183367851
362,6,362_6,Control,Memantine,S/C,0.280287635,0.172893544
362,7,362_7,Control,Memantine,S/C,0.276961252,0.163199084
362,8,362_8,Control,Memantine,S/C,0.265610262,0.16789285
362,9,362_9,Control,Memantine,S/C,0.276144109,0.173515093
362,10,362_10,Control,Memantine,S/C,0.290691887,0.174962668
362,11,362_11,Control,Memantine,S/C,0.274701671,0.172792363
362,12,362_12,Control,Memantine,S/C,0.249596681,0.180225858
362,13,362_13,Control,Memantine,S/C,0.303225806,0.189677419
362,14,362_14,Control,Memantine,S/C,0.284480099,0.175563098
362,15,362_15,Control,Memantine,S/C,0.27866939,0.168077035
364,1,364_1,Control,Memantine,S/C,0.337857815,0.237064911
364,2,364_2,Control,Memantine,S/C,0.337149087,0.2491142
364,3,364_3,Control,Memantine,S/C,0.371796749,0.272074974
364,4,364_4,Control,Memantine,S/C,0.319888047,0.22818571
364,5,364_5,Control,Memantine,S/C,0.331918506,0.239388795
364,6,364_6,Control,Memantine,S/C,0.345113978,0.262767273
364,7,364_7,Control,Memantine,S/C,0.302771411,0.227964159
364,8,364_8,Control,Memantine,S/C,0.30942667,0.241142366
364,9,364_9,Control,Memantine,S/C,0.303419689,0.237098446
364,10,364_10,Control,Memantine,S/C,0.310131477,0.237947925
364,11,364_11,Control,Memantine,S/C,0.363934426,0.263661202
364,12,364_12,Control,Memantine,S/C,0.317728319,0.244563827
364,13,364_13,Control,Memantine,S/C,0.268688082,0.248273792
364,14,364_14,Control,Memantine,S/C,0.258377425,0.278365667
364,15,364_15,Control,Memantine,S/C,0.331821354,0.300418702
365,1,365_1,Control,Memantine,S/C,0.337206545,0.211761916
365,2,365_2,Control,Memantine,S/C,0.347400242,0.225513906
365,3,365_3,Control,Memantine,S/C,0.355216466,0.231724627
365,4,365_4,Control,Memantine,S/C,0.316156191,0.209174046
365,5,365_5,Control,Memantine,S/C,0.323482078,0.208339429
365,6,365_6,Control,Memantine,S/C,0.307015092,0.201788709
365,7,365_7,Control,Memantine,S/C,0.281439197,0.198235599
365,8,365_8,Control,Memantine,S/C,0.292704786,0.208460298
365,9,365_9,Control,Memantine,S/C,0.303951921,0.229284283
365,10,365_10,Control,Memantine,S/C,0.2463138,0.179773157
365,11,365_11,Control,Memantine,S/C,0.291970803,0.202662087
365,12,365_12,Control,Memantine,S/C,0.288242731,0.198482933
365,13,365_13,Control,Memantine,S/C,0.279959463,0.209019508
365,14,365_14,Control,Memantine,S/C,0.317024887,0.231052036
365,15,365_15,Control,Memantine,S/C,0.338731086,0.216617998
3477,1,3477_1,Control,Saline,C/S,0.414979938,0.265893892
3477,2,3477_2,Control,Saline,C/S,0.42432531,0.275984683
3477,3,3477_3,Control,Saline,C/S,0.444759725,0.28228833
3477,4,3477_4,Control,Saline,C/S,0.390845886,0.240208575
3477,5,3477_5,Control,Saline,C/S,0.389175553,0.238390093
3477,6,3477_6,Control,Saline,C/S,0.414547605,0.256061502
3477,7,3477_7,Control,Saline,C/S,0.349670577,0.224168408
3477,8,3477_8,Control,Saline,C/S,0.361981302,0.220272265
3477,9,3477_9,Control,Saline,C/S,0.385111073,0.238256741
3477,10,3477_10,Control,Saline,C/S,0.37947644,0.222827225
3477,11,3477_11,Control,Saline,C/S,0.367043551,0.225083752
3477,12,3477_12,Control,Saline,C/S,0.372024436,0.225405519
3477,13,3477_13,Control,Saline,C/S,0.338769069,0.238558653
3477,14,3477_14,Control,Saline,C/S,0.357764303,0.230951753
3477,15,3477_15,Control,Saline,C/S,0.346470891,0.212004122
3478,1,3478_1,Control,Saline,C/S,0.419017131,0.224173732
3478,2,3478_2,Control,Saline,C/S,0.432892907,0.238960362
3478,3,3478_3,Control,Saline,C/S,0.463256803,0.235971988
3478,4,3478_4,Control,Saline,C/S,0.364471669,0.194486983
3478,5,3478_5,Control,Saline,C/S,0.376171829,0.190577904
3478,6,3478_6,Control,Saline,C/S,0.39099809,0.194842407
3478,7,3478_7,Control,Saline,C/S,0.339267767,0.182770998
3478,8,3478_8,Control,Saline,C/S,0.350977797,0.206734304
3478,9,3478_9,Control,Saline,C/S,0.369603267,0.183634772
3478,10,3478_10,Control,Saline,C/S,0.320470415,0.177692025
3478,11,3478_11,Control,Saline,C/S,0.311541144,0.17346583
3478,12,3478_12,Control,Saline,C/S,0.323897059,0.182904412
3478,13,3478_13,Control,Saline,C/S,0.297027645,0.188526294
3478,14,3478_14,Control,Saline,C/S,0.312943633,0.183507307
3478,15,3478_15,Control,Saline,C/S,0.308090213,0.187875026
3479,1,3479_1,Control,Saline,C/S,0.360817477,0.196818685
3479,2,3479_2,Control,Saline,C/S,0.347358997,0.194469313
3479,3,3479_3,Control,Saline,C/S,0.366670089,0.203408974
3479,4,3479_4,Control,Saline,C/S,0.326849733,0.177218408
3479,5,3479_5,Control,Saline,C/S,0.32577239,0.184069874
3479,6,3479_6,Control,Saline,C/S,0.3389315,0.190822534
3479,7,3479_7,Control,Saline,C/S,0.307390451,0.185415304
3479,8,3479_8,Control,Saline,C/S,0.322077922,0.177597403
3479,9,3479_9,Control,Saline,C/S,0.316986611,0.180835619
3479,10,3479_10,Control,Saline,C/S,0.343633656,0.216120625
3479,11,3479_11,Control,Saline,C/S,0.353085952,0.21942446
3479,12,3479_12,Control,Saline,C/S,0.340389972,0.210213556
3479,13,3479_13,Control,Saline,C/S,0.351551264,0.228888432
3479,14,3479_14,Control,Saline,C/S,0.360835619,0.238657945
3479,15,3479_15,Control,Saline,C/S,0.372259696,0.248735245
3480,1,3480_1,Control,Saline,C/S,0.397922752,0.210564752
3480,2,3480_2,Control,Saline,C/S,0.41048321,0.212285012
3480,3,3480_3,Control,Saline,C/S,0.400732367,0.199251712
3480,4,3480_4,Control,Saline,C/S,0.332077446,0.18859236
3480,5,3480_5,Control,Saline,C/S,0.327295183,0.187628654
3480,6,3480_6,Control,Saline,C/S,0.326509512,0.180727874
3480,7,3480_7,Control,Saline,C/S,0.294477745,0.166687922
3480,8,3480_8,Control,Saline,C/S,0.299346241,0.159039477
3480,9,3480_9,Control,Saline,C/S,0.299093656,0.15835851
3480,10,3480_10,Control,Saline,C/S,0.277969665,0.148670972
3480,11,3480_11,Control,Saline,C/S,0.272561254,0.147618323
3480,12,3480_12,Control,Saline,C/S,0.270306456,0.147872657
3480,13,3480_13,Control,Saline,C/S,0.255656109,0.136877828
3480,14,3480_14,Control,Saline,C/S,0.248880597,0.136380597
3480,15,3480_15,Control,Saline,C/S,0.250783699,0.153605016
3484,1,3484_1,Control,Saline,C/S,0.437048307,0.236021301
3484,2,3484_2,Control,Saline,C/S,0.426259824,0.234304207
3484,3,3484_3,Control,Saline,C/S,0.424497732,0.243125637
3484,4,3484_4,Control,Saline,C/S,0.396927651,0.208870168
3484,5,3484_5,Control,Saline,C/S,0.382448148,0.217360029
3484,6,3484_6,Control,Saline,C/S,0.370335491,0.217775162
3484,7,3484_7,Control,Saline,C/S,0.354444444,0.195396825
3484,8,3484_8,Control,Saline,C/S,0.345962733,0.195652174
3484,9,3484_9,Control,Saline,C/S,0.317620006,0.186404139
3484,10,3484_10,Control,Saline,C/S,0.373902133,0.210790464
3484,11,3484_11,Control,Saline,C/S,0.357739753,0.206526064
3484,12,3484_12,Control,Saline,C/S,0.359857482,0.211599367
3484,13,3484_13,Control,Saline,C/S,0.443789749,0.226056865
3484,14,3484_14,Control,Saline,C/S,0.440290758,0.221939016
3484,15,3484_15,Control,Saline,C/S,0.445206749,0.219543853
3497,1,3497_1,Control,Saline,C/S,0.497159859,0.263727346
3497,2,3497_2,Control,Saline,C/S,0.340028558,0.182674917
3497,3,3497_3,Control,Saline,C/S,0.401265095,0.216676251
3497,4,3497_4,Control,Saline,C/S,0.454197839,0.230091438
3497,5,3497_5,Control,Saline,C/S,0.320351137,0.170128586
3497,6,3497_6,Control,Saline,C/S,0.385155773,0.209224191
3497,7,3497_7,Control,Saline,C/S,0.376263127,0.208044383
3497,8,3497_8,Control,Saline,C/S,0.251711223,0.132765078
3497,9,3497_9,Control,Saline,C/S,0.33877403,0.186797243
3497,10,3497_10,Control,Saline,C/S,0.352426961,0.187025535
3497,11,3497_11,Control,Saline,C/S,0.204931973,0.112811791
3497,12,3497_12,Control,Saline,C/S,0.323243243,0.174702703
3497,13,3497_13,Control,Saline,C/S,0.375665602,0.180244941
3497,14,3497_14,Control,Saline,C/S,0.301928619,0.147639104
3497,15,3497_15,Control,Saline,C/S,0.290584841,0.190138998
50810A,1,50810A_1,Control,Saline,C/S,0.438504082,0.29483803
50810A,2,50810A_2,Control,Saline,C/S,0.419143988,0.293947583
50810A,3,50810A_3,Control,Saline,C/S,0.401651199,0.305773171
50810A,4,50810A_4,Control,Saline,C/S,0.354830698,0.227253912
50810A,5,50810A_5,Control,Saline,C/S,0.344816406,0.239685499
50810A,6,50810A_6,Control,Saline,C/S,0.310603829,0.212665685
50810A,7,50810A_7,Control,Saline,C/S,0.318815683,0.199676637
50810A,8,50810A_8,Control,Saline,C/S,0.304625356,0.19660218
50810A,9,50810A_9,Control,Saline,C/S,0.298627451,0.19754902
50810A,10,50810A_10,Control,Saline,C/S,0.281612782,0.19423293
50810A,11,50810A_11,Control,Saline,C/S,0.262914692,0.175
50810A,12,50810A_12,Control,Saline,C/S,0.254059105,0.167270179
50810A,13,50810A_13,Control,Saline,C/S,0.278817139,0.173657212
50810A,14,50810A_14,Control,Saline,C/S,0.254298896,0.160492101
50810A,15,50810A_15,Control,Saline,C/S,0.264318442,0.164805269
50810D,1,50810D_1,Control,Saline,C/S,0.383698761,0.242373689
50810D,2,50810D_2,Control,Saline,C/S,0.36611979,0.249391632
50810D,3,50810D_3,Control,Saline,C/S,0.369385527,0.256316282
50810D,4,50810D_4,Control,Saline,C/S,0.314718787,0.200438771
50810D,5,50810D_5,Control,Saline,C/S,0.311225983,0.205208232
50810D,6,50810D_6,Control,Saline,C/S,0.304270463,0.218663503
50810D,7,50810D_7,Control,Saline,C/S,0.286518964,0.194642634
50810D,8,50810D_8,Control,Saline,C/S,0.285345146,0.181616833
50810D,9,50810D_9,Control,Saline,C/S,0.278532772,0.178592904
50810D,10,50810D_10,Control,Saline,C/S,0.267685521,0.168898692
50810D,11,50810D_11,Control,Saline,C/S,0.263722784,0.164520086
50810D,12,50810D_12,Control,Saline,C/S,0.251379979,0.161271073
50810D,13,50810D_13,Control,Saline,C/S,0.249283154,0.163978495
50810D,14,50810D_14,Control,Saline,C/S,0.260824385,0.160200901
