sample_id,record_number,source_record,genotype,treatment,learning,BDNF,pCREB,NR1
311,14,311_14,Control,Memantine,C/S,0.316055626,0.162136536,1.957016435
311,15,311_15,Control,Memantine,C/S,0.287250384,0.169892473,1.892165899
320,1,320_1,Control,Memantine,C/S,0.446958318,0.232256853,2.930717236
320,2,320_2,Control,Memantine,C/S,0.464963919,0.259020129,2.992688948
320,3,320_3,Control,Memantine,C/S,0.470055645,0.258794681,3.073847024
320,4,320_4,Control,Memantine,C/S,0.393464692,0.209154326,2.606780076
320,5,320_5,Control,Memantine,C/S,0.411203215,0.218538056,2.757975383
320,6,320_6,Control,Memantine,C/S,0.421203796,0.221028971,2.831168831
320,7,320_7,Control,Memantine,C/S,0.363541043,0.190832834,2.456261234
320,8,320_8,Control,Memantine,C/S,0.385529158,0.200401111,2.573125579
320,9,320_9,Control,Memantine,C/S,0.39158777,0.195405867,2.667701381
320,10,320_10,Control,Memantine,C/S,0.370568052,0.208921083,2.503049943
320,11,320_11,Control,Memantine,C/S,0.38436851,0.20841986,2.545403058
320,12,320_12,Control,Memantine,C/S,0.383670384,0.208278208,2.624645625
320,13,320_13,Control,Memantine,C/S,0.36030082,0.220601641,2.392889699
320,14,320_14,Control,Memantine,C/S,0.371539693,0.244566461,2.472660718
320,15,320_15,Control,Memantine,C/S,0.360785199,0.199232852,2.538808664
321,1,321_1,Control,Memantine,C/S,0.40296215,0.198354361,2.933516182
321,2,321_2,Control,Memantine,C/S,0.401297297,0.205081081,2.919243243
321,3,321_3,Control,Memantine,C/S,0.417958656,0.210594315,2.92581826
321,4,321_4,Control,Memantine,C/S,0.376029022,0.190037673,2.915585322
321,5,321_5,Control,Memantine,C/S,0.381124722,0.198496659,2.913557906
321,6,321_6,Control,Memantine,C/S,0.385842881,0.197081288,2.904391708
321,7,321_7,Control,Memantine,C/S,0.342756775,0.183506189,2.635162262
321,8,321_8,Control,Memantine,C/S,0.357512061,0.19314266,2.731909028
321,9,321_9,Control,Memantine,C/S,0.361935266,0.1908294,2.732636548
321,10,321_10,Control,Memantine,C/S,0.324573226,0.206199461,2.467654987
321,11,321_11,Control,Memantine,C/S,0.338937458,0.204662632,2.488231338
321,12,321_12,Control,Memantine,C/S,0.334286343,0.196613152,2.485155047
321,13,321_13,Control,Memantine,C/S,0.308093995,0.204960836,2.37154047
321,14,321_14,Control,Memantine,C/S,0.326368686,0.206559111,2.441946575
321,15,321_15,Control,Memantine,C/S,0.331942634,0.200521512,2.429726206
322,1,322_1,Control,Memantine,C/S,0.315109108,0.17955408,2.220944023
322,2,322_2,Control,Memantine,C/S,0.333042067,0.189239795,2.376731994
322,3,322_3,Control,Memantine,C/S,0.342568326,0.181579933,2.356046425
322,4,322_4,Control,Memantine,C/S,0.322269638,0.183657342,2.177809388
322,5,322_5,Control,Memantine,C/S,0.316708622,0.175739459,2.17778477
322,6,322_6,Control,Memantine,C/S,0.32354342,0.180346087,2.252579775
322,7,322_7,Control,Memantine,C/S,0.303490436,0.18339578,2.069808716
322,8,322_8,Control,Memantine,C/S,0.30297689,0.180963572,2.062867215
322,9,322_9,Control,Memantine,C/S,0.295910494,0.175154321,2.050540123
322,10,322_10,Control,Memantine,C/S,0.296166433,0.184431978,1.983169705
322,11,322_11,Control,Memantine,C/S,0.301080211,0.176281315,1.954952884
322,12,322_12,Control,Memantine,C/S,0.310731821,0.17512275,1.995557634
322,13,322_13,Control,Memantine,C/S,0.322732301,0.192477876,1.966537611
322,14,322_14,Control,Memantine,C/S,0.318987342,0.192123769,2.018565401
322,15,322_15,Control,Memantine,C/S,0.321250692,0.184560044,2.011068069
3415,1,3415_1,Control,Memantine,C/S,0.405861767,0.23928259,2.921434821
3415,2,3415_2,Control,Memantine,C/S,0.388583691,0.221030043,2.862575107
3415,3,3415_3,Control,Memantine,C/S,0.400561453,0.222300202,2.968155101
3415,4,3415_4,Control,Memantine,C/S,0.348346314,0.194152839,2.62490123
3415,5,3415_5,Control,Memantine,C/S,0.350050716,0.194297306,2.634509185
3415,6,3415_6,Control,Memantine,C/S,0.343910042,0.193052772,2.598085059
3415,7,3415_7,Control,Memantine,C/S,0.311961722,0.190020506,2.439781271
3415,8,3415_8,Control,Memantine,C/S,0.299947971,0.163891779,2.31776795
3415,9,3415_9,Control,Memantine,C/S,0.30590604,0.173959732,2.415704698
3415,10,3415_10,Control,Memantine,C/S,0.266223232,0.147955873,2.029688514
3415,11,3415_11,Control,Memantine,C/S,0.262430939,0.165420864,2.000487488
3415,12,3415_12,Control,Memantine,C/S,0.258428805,0.167430442,2.028150573
3415,13,3415_13,Control,Memantine,C/S,0.261285075,0.135217568,1.892842619
3415,14,3415_14,Control,Memantine,C/S,0.261164274,0.137958533,1.900917065
3415,15,3415_15,Control,Memantine,C/S,0.257909491,0.142571085,1.860032038
3499,1,3499_1,Control,Memantine,C/S,0.349929128,0.233965273,2.728649894
3499,2,3499_2,Control,Memantine,C/S,0.355206074,0.237075199,2.716106291
3499,3,3499_3,Control,Memantine,C/S,0.362377484,0.236309684,2.714953691
3499,4,3499_4,Control,Memantine,C/S,0.302132435,0.201795735,2.385072952
3499,5,3499_5,Control,Memantine,C/S,0.308327676,0.197103417,2.426567097
3499,6,3499_6,Control,Memantine,C/S,0.306515581,0.194107649,2.428668555
3499,7,3499_7,Control,Memantine,C/S,0.266096866,0.164957265,2.009259259
3499,8,3499_8,Control,Memantine,C/S,0.264008005,0.159090909,2.003859348
3499,9,3499_9,Control,Memantine,C/S,0.268153915,0.167689774,2.095074113
3499,10,3499_10,Control,Memantine,C/S,0.255778894,0.155108878,1.961306533
3499,11,3499_11,Control,Memantine,C/S,0.251350439,0.150236327,1.944463201
3499,12,3499_12,Control,Memantine,C/S,0.296085532,0.151577858,2.018279014
3499,13,3499_13,Control,Memantine,C/S,0.284346847,0.138513514,1.758258258
3499,14,3499_14,Control,Memantine,C/S,0.236207219,0.140826632,1.711052927
3499,15,3499_15,Control,Memantine,C/S,0.21584343,0.135135135,1.742963653
3507,1,3507_1,Control,Memantine,C/S,0.337220879,0.227705874,2.559379889
3507,2,3507_2,Control,Memantine,C/S,0.332252608,0.22511982,2.634479842
3507,3,3507_3,Control,Memantine,C/S,0.341173096,0.222572781,2.710598021
3507,4,3507_4,Control,Memantine,C/S,0.307379714,0.2039987,2.270156047
3507,5,3507_5,Control,Memantine,C/S,0.323729094,0.203179334,2.405199536
3507,6,3507_6,Control,Memantine,C/S,0.326544467,0.211133741,2.490325866
3507,7,3507_7,Control,Memantine,C/S,0.304048742,0.210888365,2.304441824
3507,8,3507_8,Control,Memantine,C/S,0.313173157,0.202361226,2.435376968
3507,9,3507_9,Control,Memantine,C/S,0.305140962,0.213723051,2.425995025
3507,10,3507_10,Control,Memantine,C/S,0.284329946,0.199480028,1.981564642
3507,11,3507_11,Control,Memantine,C/S,0.311242023,0.206921944,2.083946981
3507,12,3507_12,Control,Memantine,C/S,0.31012333,0.206577595,2.229188078
3507,13,3507_13,Control,Memantine,C/S,0.336109459,0.226948245,2.131171921
3507,14,3507_14,Control,Memantine,C/S,0.295235394,0.237663074,2.034032898
3507,15,3507_15,Control,Memantine,C/S,0.331598728,0.240242845,2.079791847
3520,1,3520_1,Control,Memantine,C/S,0.393314501,0.246986817,2.802636535
3520,2,3520_2,Control,Memantine,C/S,0.394525268,0.243587289,2.953579632
3520,3,3520_3,Control,Memantine,C/S,0.390470767,0.23443432,2.972949886
3520,4,3520_4,Control,Memantine,C/S,0.369172342,0.223022525,2.754583552
3520,5,3520_5,Control,Memantine,C/S,0.35777692,0.204940178,2.651228612
3520,6,3520_6,Control,Memantine,C/S,0.350833768,0.208051068,2.705575821
3520,7,3520_7,Control,Memantine,C/S,0.328569134,0.208286494,2.493174884
3520,8,3520_8,Control,Memantine,C/S,0.331195244,0.195869837,2.433667084
3520,9,3520_9,Control,Memantine,C/S,0.309215537,0.193602437,2.437319117
3520,10,3520_10,Control,Memantine,C/S,0.310204082,0.206938776,2.286938776
3520,11,3520_11,Control,Memantine,C/S,0.313192557,0.2226636,2.379468953
3520,12,3520_12,Control,Memantine,C/S,0.335357215,0.207447885,2.283748229
3520,13,3520_13,Control,Memantine,C/S,0.305296714,0.214320745,2.210397254
3520,14,3520_14,Control,Memantine,C/S,0.323751891,0.225163893,2.288451841
3520,15,3520_15,Control,Memantine,C/S,0.308157831,0.2050351,2.190752844
3521,1,3521_1,Control,Memantine,C/S,0.441881614,0.277695106,2.705605159
3521,2,3521_2,Control,Memantine,C/S,0.447824637,0.273795633,2.841390232
3521,3,3521_3,Control,Memantine,C/S,0.431228585,0.261951379,2.762277696
3521,4,3521_4,Control,Memantine,C/S,0.386822409,0.234633704,2.581084146
3521,5,3521_5,Control,Memantine,C/S,0.387912462,0.228937521,2.541558
3521,6,3521_6,Control,Memantine,C/S,0.381477398,0.226681367,2.484785006
3521,7,3521_7,Control,Memantine,C/S,0.363164203,0.210280996,2.406711946
3521,8,3521_8,Control,Memantine,C/S,0.344836775,0.207728181,2.38934044
3521,9,3521_9,Control,Memantine,C/S,0.351973244,0.204949833,2.375518395
3521,10,3521_10,Control,Memantine,C/S,0.335082197,0.201818818,2.2378454
3521,11,3521_11,Control,Memantine,C/S,0.338439615,0.204666904,2.246526541
3521,12,3521_12,Control,Memantine,C/S,0.33813987,0.207281903,2.310201875
3521,13,3521_13,Control,Memantine,C/S,0.312938596,0.211403509,2.129824561
3521,14,3521_14,Control,Memantine,C/S,0.326589595,0.206758559,2.154290796
3521,15,3521_15,Control,Memantine,C/S,0.306182122,0.197786132,2.059732665
294,1,294_1,Control,Memantine,S/C,0.308490308,0.227409227,2.614660115
294,2,294_2,Control,Memantine,S/C,0.289043982,0.211614432,2.495654464
294,3,294_3,Control,Memantine,S/C,0.32184851,0.217528028,2.601312551
294,4,294_4,Control,Memantine,S/C,0.299533598,0.206253239,2.504404906
294,5,294_5,Control,Memantine,S/C,0.297411605,0.203857215,2.469125359
294,6,294_6,Control,Memantine,S/C,0.283040552,0.204071581,2.415695288
294,7,294_7,Control,Memantine,S/C,0.316701903,0.241226216,2.558985201
294,8,294_8,Control,Memantine,S/C,0.294576828,0.225349219,2.421322925
294,9,294_9,Control,Memantine,S/C,0.281316554,0.198063892,2.299322362
294,10,294_10,Control,Memantine,S/C,0.34338495,0.239337137,2.550937245
294,11,294_11,Control,Memantine,S/C,0.326210093,0.220906282,2.42507724
294,12,294_12,Control,Memantine,S/C,0.325207469,0.223288382,2.405342324
294,13,294_13,Control,Memantine,S/C,0.324550527,0.238065716,2.349349039
294,14,294_14,Control,Memantine,S/C,0.365986395,0.251020408,2.565306122
294,15,294_15,Control,Memantine,S/C,0.362389814,0.246163892,2.510610513
3412,1,3412_1,Control,Memantine,S/C,0.281871827,0.215589406,2.485933855
3412,2,3412_2,Control,Memantine,S/C,0.298375805,0.221366564,2.481097732
3412,3,3412_3,Control,Memantine,S/C,0.303705807,0.236546926,2.524066449
3412,4,3412_4,Control,Memantine,S/C,0.293353836,0.208440116,2.309755681
3412,5,3412_5,Control,Memantine,S/C,0.304831422,0.215849844,2.375738617
3412,6,3412_6,Control,Memantine,S/C,0.29828251,0.223624255,2.369610936
3412,7,3412_7,Control,Memantine,S/C,0.30015083,0.211592329,2.272786037
3412,8,3412_8,Control,Memantine,S/C,0.299458288,0.213434453,2.291657638
3412,9,3412_9,Control,Memantine,S/C,0.294462541,0.222149837,2.271661238
3412,10,3412_10,Control,Memantine,S/C,0.304347826,0.206643869,2.138983879
3412,11,3412_11,Control,Memantine,S/C,0.299629172,0.213844252,2.146106304
3412,12,3412_12,Control,Memantine,S/C,0.321589205,0.223388306,2.18015992
3412,13,3412_13,Control,Memantine,S/C,0.3171875,0.2259375,2.13875
3412,14,3412_14,Control,Memantine,S/C,0.317687286,0.232825614,2.115635685
3412,15,3412_15,Control,Memantine,S/C,0.346354167,0.237630208,2.186197917
3413,1,3413_1,Control,Memantine,S/C,0.265467626,0.202068345,2.386870504
3413,2,3413_2,Control,Memantine,S/C,0.115181402,0.19232124,2.284431138
3413,3,3413_3,Control,Memantine,S/C,0.266897148,0.196974935,2.261797753
3413,4,3413_4,Control,Memantine,S/C,0.232138956,0.164955211,2.032772558
3413,5,3413_5,Control,Memantine,S/C,0.255172414,0.169458128,2.04499179
3413,6,3413_6,Control,Memantine,S/C,0.239452055,0.171726027,2.044493151
3413,7,3413_7,Control,Memantine,S/C,0.221028905,0.15924158,1.880933439
3413,8,3413_8,Control,Memantine,S/C,0.217385621,0.150980392,1.806013072
3413,9,3413_9,Control,Memantine,S/C,0.222236705,0.150938478,1.837851929
3413,10,3413_10,Control,Memantine,S/C,0.212386795,0.135261467,1.670464505
3413,11,3413_11,Control,Memantine,S/C,0.198158702,0.134882362,1.634955429
3413,12,3413_12,Control,Memantine,S/C,0.220139771,0.146601017,1.79272554
3413,13,3413_13,Control,Memantine,S/C,0.185979513,0.127400768,1.403329065
3413,14,3413_14,Control,Memantine,S/C,0.197270686,0.127483158,1.496977025
3413,15,3413_15,Control,Memantine,S/C,0.228643705,0.147304923,1.687682428
3419,1,3419_1,Control,Memantine,S/C,0.294584838,0.221083032,2.113068592
3419,2,3419_2,Control,Memantine,S/C,0.290589602,0.214057508,2.148852745
3419,3,3419_3,Control,Memantine,S/C,0.279473537,0.205404649,2.098151778
3419,4,3419_4,Control,Memantine,S/C,0.282661571,0.211084086,1.945100764
3419,5,3419_5,Control,Memantine,S/C,0.284984138,0.212019739,1.949770885
3419,6,3419_6,Control,Memantine,S/C,0.258191997,0.198583896,1.800098798
3419,7,3419_7,Control,Memantine,S/C,0.269407346,0.213480801,1.885225376
3419,8,3419_8,Control,Memantine,S/C,0.252742869,0.200079793,1.811689607
3419,9,3419_9,Control,Memantine,S/C,0.248001599,0.20303757,1.783573141
3419,10,3419_10,Control,Memantine,S/C,0.308648649,0.234594595,1.923243243
3419,11,3419_11,Control,Memantine,S/C,0.280010438,0.230167015,1.86717119
3419,12,3419_12,Control,Memantine,S/C,0.267983419,0.212874909,1.724701292
3419,13,3419_13,Control,Memantine,S/C,0.317257218,0.262795276,1.853674541
3419,14,3419_14,Control,Memantine,S/C,0.283713851,0.256316591,1.701065449
3419,15,3419_15,Control,Memantine,S/C,0.272194821,0.232737361,1.720406905
3420,1,3420_1,Control,Memantine,S/C,0.26672484,0.213496219,2.037812682
3420,2,3420_2,Control,Memantine,S/C,0.26,0.222627737,2.074890511
3420,3,3420_3,Control,Memantine,S/C,0.247090663,0.194046008,1.866576455
3420,4,3420_4,Control,Memantine,S/C,0.268394346,0.225625227,1.97752809
3420,5,3420_5,Control,Memantine,S/C,0.267684022,0.217055655,1.966965889
3420,6,3420_6,Control,Memantine,S/C,0.239206908,0.18835945,1.712184202
3420,7,3420_7,Control,Memantine,S/C,0.31383452,0.225088968,1.860542705
3420,8,3420_8,Control,Memantine,S/C,0.260969977,0.207642242,1.769682973
3420,9,3420_9,Control,Memantine,S/C,0.249135652,0.217408989,1.676225341
3420,10,3420_10,Control,Memantine,S/C,0.337398374,0.305190744,2.060350219
3420,11,3420_11,Control,Memantine,S/C,0.324469769,0.285533397,2.079138968
3420,12,3420_12,Control,Memantine,S/C,0.301639344,0.261102832,1.885842027
3420,13,3420_13,Control,Memantine,S/C,0.397491039,0.292473118,1.987455197
3420,14,3420_14,Control,Memantine,S/C,0.335948158,0.273874488,1.893929059
3420,15,3420_15,Control,Memantine,S/C,0.342714642,0.283576772,1.980049875
3500,1,3500_1,Control,Memantine,S/C,0.327984199,0.220343168,2.659054438
3500,2,3500_2,Control,Memantine,S/C,0.291023764,0.198445771,2.421556482
3500,3,3500_3,Control,Memantine,S/C,0.291796111,0.201357726,2.459325739
3500,4,3500_4,Control,Memantine,S/C,0.324419114,0.206780652,2.368990209
3500,5,3500_5,Control,Memantine,S/C,0.285832415,0.192668137,2.199558986
3500,6,3500_6,Control,Memantine,S/C,0.275020793,0.187551982,2.22012753
3500,7,3500_7,Control,Memantine,S/C,0.316703559,0.201089733,2.288779159
3500,8,3500_8,Control,Memantine,S/C,0.263367917,0.18499601,2.078850758
3500,9,3500_9,Control,Memantine,S/C,0.265627537,0.182172431,2.114466634
3500,10,3500_10,Control,Memantine,S/C,0.276941601,0.179811359,2.030905077
3500,11,3500_11,Control,Memantine,S/C,0.26371308,0.179324895,1.95818949
3500,12,3500_12,Control,Memantine,S/C,0.258155231,0.171353581,1.88863892
3500,13,3500_13,Control,Memantine,S/C,0.320754717,0.191340106,1.961780358
3500,14,3500_14,Control,Memantine,S/C,0.280268022,0.18461183,1.878465804
3500,15,3500_15,Control,Memantine,S/C,0.280898876,0.187265918,1.875
3503,1,3503_1,Control,Memantine,S/C,0.290876474,0.186058432,2.397360328
3503,2,3503_2,Control,Memantine,S/C,0.309183948,0.194990574,2.522353892
3503,3,3503_3,Control,Memantine,S/C,0.288297733,0.194469925,2.415148735
3503,4,3503_4,Control,Memantine,S/C,0.311251664,0.198069241,2.367010652
3503,5,3503_5,Control,Memantine,S/C,0.284369115,0.188794727,2.210608914
3503,6,3503_6,Control,Memantine,S/C,0.279554264,0.191860465,2.238210594
3503,7,3503_7,Control,Memantine,S/C,0.267342167,0.183943882,2.122174591
3503,8,3503_8,Control,Memantine,S/C,0.28141698,0.183059569,2.119730853
3503,9,3503_9,Control,Memantine,S/C,0.315329318,0.179327764,2.051486303
3503,10,3503_10,Control,Memantine,S/C,0.31290602,0.179514942,1.905153746
3503,11,3503_11,Control,Memantine,S/C,0.297578638,0.181941616,1.99185336
3503,12,3503_12,Control,Memantine,S/C,0.267662135,0.196790729,1.944952084
3503,13,3503_13,Control,Memantine,S/C,0.268236646,0.184951177,1.838598507
3503,14,3503_14,Control,Memantine,S/C,0.316858869,0.169412411,1.64195497
3503,15,3503_15,Control,Memantine,S/C,0.332021792,0.182506053,1.829600484
362,1,362_1,Control,Memantine,S/C,0.305588429,0.19947403,2.231426693
362,2,362_2,Control,Memantine,S/C,0.299698202,0.188557932,2.214145125
362,3,362_3,Control,Memantine,S/C,0.296756209,0.176507856,2.157881399
362,4,362_4,Control,Memantine,S/C,0.286402312,0.178840905,2.104029539
362,5,362_5,Control,Memantine,S/C,0.289150868,0.183367851,2.090648399
362,6,362_6,Control,Memantine,S/C,0.280287635,0.172893544,2.037986556
362,7,362_7,Control,Memantine,S/C,0.276961252,0.163199084,1.966214927
362,8,362_8,Control,Memantine,S/C,0.265610262,0.16789285,1.89718921
362,9,362_9,Control,Memantine,S/C,0.276144109,0.173515093,1.967478092
362,10,362_10,Control,Memantine,S/C,0.290691887,0.174962668,1.933300149
362,11,362_11,Control,Memantine,S/C,0.274701671,0.172792363,1.876849642
362,12,362_12,Control,Memantine,S/C,0.249596681,0.180225858,1.815164785
362,13,362_13,Control,Memantine,S/C,0.303225806,0.189677419,1.916774194
362,14,362_14,Control,Memantine,S/C,0.284480099,0.175563098,1.839247146
362,15,362_15,Control,Memantine,S/C,0.27866939,0.168077035,1.708491392
364,1,364_1,Control,Memantine,S/C,0.337857815,0.237064911,2.589436904
364,2,364_2,Control,Memantine,S/C,0.337149087,0.2491142,2.586399564
364,3,364_3,Control,Memantine,S/C,0.371796749,0.272074974,2.814321277
364,4,364_4,Control,Memantine,S/C,0.319888047,0.22818571,2.479420481
364,5,364_5,Control,Memantine,S/C,0.331918506,0.239388795,2.549575552
364,6,364_6,Control,Memantine,S/C,0.345113978,0.262767273,2.625375508
364,7,364_7,Control,Memantine,S/C,0.302771411,0.227964159,2.374661388
364,8,364_8,Control,Memantine,S/C,0.30942667,0.241142366,2.426240069
364,9,364_9,Control,Memantine,S/C,0.303419689,0.237098446,2.369533679
364,10,364_10,Control,Memantine,S/C,0.310131477,0.237947925,2.345449858
364,11,364_11,Control,Memantine,S/C,0.363934426,0.263661202,2.551912568
364,12,364_12,Control,Memantine,S/C,0.317728319,0.244563827,2.385520594
364,13,364_13,Control,Memantine,S/C,0.268688082,0.248273792,2.258180727
364,14,364_14,Control,Memantine,S/C,0.258377425,0.278365667,2.279541446
364,15,364_15,Control,Memantine,S/C,0.331821354,0.300418702,2.732379623
365,1,365_1,Control,Memantine,S/C,0.337206545,0.211761916,2.508299739
365,2,365_2,Control,Memantine,S/C,0.347400242,0.225513906,2.544860943
365,3,365_3,Control,Memantine,S/C,0.355216466,0.231724627,2.56422995
365,4,365_4,Control,Memantine,S/C,0.316156191,0.209174046,2.375381042
365,5,365_5,Control,Memantine,S/C,0.323482078,0.208339429,2.440380395
365,6,365_6,Control,Memantine,S/C,0.307015092,0.201788709,2.304080492
365,7,365_7,Control,Memantine,S/C,0.281439197,0.198235599,2.186126968
365,8,365_8,Control,Memantine,S/C,0.292704786,0.208460298,2.301666965
365,9,365_9,Control,Memantine,S/C,0.303951921,0.229284283,2.287379348
365,10,365_10,Control,Memantine,S/C,0.2463138,0.179773157,1.878071834
365,11,365_11,Control,Memantine,S/C,0.291970803,0.202662087,2.126878489
365,12,365_12,Control,Memantine,S/C,0.288242731,0.198482933,2.078381795
365,13,365_13,Control,Memantine,S/C,0.279959463,0.209019508,1.966810236
365,14,365_14,Control,Memantine,S/C,0.317024887,0.231052036,2.208710407
365,15,365_15,Control,Memantine,S/C,0.338731086,0.216617998,2.05256172
3477,1,3477_1,Control,Saline,C/S,0.414979938,0.265893892,2.706107891
3477,2,3477_2,Control,Saline,C/S,0.42432531,0.275984683,2.803701678
3477,3,3477_3,Control,Saline,C/S,0.444759725,0.28228833,2.91826087
3477,4,3477_4,Control,Saline,C/S,0.390845886,0.240208575,2.521089224
3477,5,3477_5,Control,Saline,C/S,0.389175553,0.238390093,2.514046554
3477,6,3477_6,Control,Saline,C/S,0.414547605,0.256061502,2.672383205
3477,7,3477_7,Control,Saline,C/S,0.349670577,0.224168408,2.107665113
3477,8,3477_8,Control,Saline,C/S,0.361981302,0.220272265,2.217319993
3477,9,3477_9,Control,Saline,C/S,0.385111073,0.238256741,2.369340343
3477,10,3477_10,Control,Saline,C/S,0.37947644,0.222827225,2.057382199
3477,11,3477_11,Control,Saline,C/S,0.367043551,0.225083752,2.100921273
3477,12,3477_12,Control,Saline,C/S,0.372024436,0.225405519,2.195070571
3477,13,3477_13,Control,Saline,C/S,0.338769069,0.238558653,1.971067859
3477,14,3477_14,Control,Saline,C/S,0.357764303,0.230951753,2.023464276
3477,15,3477_15,Control,Saline,C/S,0.346470891,0.212004122,2.031684699
3478,1,3478_1,Control,Saline,C/S,0.419017131,0.224173732,2.859231701
3478,2,3478_2,Control,Saline,C/S,0.432892907,0.238960362,2.939673157
3478,3,3478_3,Control,Saline,C/S,0.463256803,0.235971988,3.09068345
3478,4,3478_4,Control,Saline,C/S,0.364471669,0.194486983,2.534338556
3478,5,3478_5,Control,Saline,C/S,0.376171829,0.190577904,2.584430996
3478,6,3478_6,Control,Saline,C/S,0.39099809,0.194842407,2.666427889
3478,7,3478_7,Control,Saline,C/S,0.339267767,0.182770998,2.309547739
3478,8,3478_8,Control,Saline,C/S,0.350977797,0.206734304,2.41493898
3478,9,3478_9,Control,Saline,C/S,0.369603267,0.183634772,2.501458576
3478,10,3478_10,Control,Saline,C/S,0.320470415,0.177692025,2.111172363
3478,11,3478_11,Control,Saline,C/S,0.311541144,0.17346583,2.011680614
3478,12,3478_12,Control,Saline,C/S,0.323897059,0.182904412,2.169301471
3478,13,3478_13,Control,Saline,C/S,0.297027645,0.188526294,2.004988568
3478,14,3478_14,Control,Saline,C/S,0.312943633,0.183507307,2.057411273
3478,15,3478_15,Control,Saline,C/S,0.308090213,0.187875026,2.059797227
3479,1,3479_1,Control,Saline,C/S,0.360817477,0.196818685,2.480217457
3479,2,3479_2,Control,Saline,C/S,0.347358997,0.194469313,2.468516861
3479,3,3479_3,Control,Saline,C/S,0.366670089,0.203408974,2.556627991
3479,4,3479_4,Control,Saline,C/S,0.326849733,0.177218408,2.258454106
3479,5,3479_5,Control,Saline,C/S,0.32577239,0.184069874,2.314691696
3479,6,3479_6,Control,Saline,C/S,0.3389315,0.190822534,2.398439566
3479,7,3479_7,Control,Saline,C/S,0.307390451,0.185415304,2.193263571
3479,8,3479_8,Control,Saline,C/S,0.322077922,0.177597403,2.165422078
3479,9,3479_9,Control,Saline,C/S,0.316986611,0.180835619,2.163252137
3479,10,3479_10,Control,Saline,C/S,0.343633656,0.216120625,2.431124348
3479,11,3479_11,Control,Saline,C/S,0.353085952,0.21942446,2.464407421
3479,12,3479_12,Control,Saline,C/S,0.340389972,0.210213556,2.4363974
3479,13,3479_13,Control,Saline,C/S,0.351551264,0.228888432,2.556400247
3479,14,3479_14,Control,Saline,C/S,0.360835619,0.238657945,2.672926778
3479,15,3479_15,Control,Saline,C/S,0.372259696,0.248735245,2.687605396
3480,1,3480_1,Control,Saline,C/S,0.397922752,0.210564752,2.755355404
3480,2,3480_2,Control,Saline,C/S,0.41048321,0.212285012,2.816707617
3480,3,3480_3,Control,Saline,C/S,0.400732367,0.199251712,2.765005572
3480,4,3480_4,Control,Saline,C/S,0.332077446,0.18859236,2.473678702
3480,5,3480_5,Control,Saline,C/S,0.327295183,0.187628654,2.445862495
3480,6,3480_6,Control,Saline,C/S,0.326509512,0.180727874,2.450062035
3480,7,3480_7,Control,Saline,C/S,0.294477745,0.166687922,2.262849126
3480,8,3480_8,Control,Saline,C/S,0.299346241,0.159039477,2.247674126
3480,9,3480_9,Control,Saline,C/S,0.299093656,0.15835851,2.218403827
3480,10,3480_10,Control,Saline,C/S,0.277969665,0.148670972,2.110977624
3480,11,3480_11,Control,Saline,C/S,0.272561254,0.147618323,2.087657891
